"","label","pval","fdr","signature","geneset","overlap","background","hits","generatio"
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"," Post translational protein modification",1.3e-49,2.2e-46,3333,1245,324,29522,"AAAS,ACTR1A,ADAM10,ADAMTS4,ADRB2,ADRM1,AGBL3,AGBL5,AGTPBP1,ALG10B,ALG3,ALG6,ANK3,ANKRD28,ARF3,ARF5,ARFGAP2,ARRB2,ARSA,ASB3,ASB6,ATXN3,AURKA,B3GLCT,B3GNT2,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT6,BET1L,BIRC3,BTBD6,CAPZA2,CCDC22,CCN1,CCNA2,CD109,CD55,CD59,CDK1,CMAS,COG7,COG8,COL7A1,COMMD6,COMMD9,COPB1,COPE,COPG2,COPS7A,CPM,CREBBP,CTSC,CUL7,CUL9,DCAF11,DCAF13,DCAF6,DCUN1D3,DCUN1D4,DDB1,DERL2,DNAJC3,DNMT1,DNMT3A,DPAGT1,DPH2,DPH3,DPH6,DPM1,DYNC1LI2,EDEM1,ELOC,EP300,ERCC8,EVA1A,F8,FBXL18,FBXL19,FBXO2,FBXO30,FBXO41,FBXW11,FBXW9,FEM1A,FKBP8,FOXK2,FOXL2,FURIN,FUT8,GALNT1,GALNT7,GANAB,GBF1,GCNT3,GFPT1,GMPPA,GNE,GOLM1,GORASP1,GOSR2,GPAA1,GPS1,H2AC21,H2AC6,H2BC12,H2BC13,HCFC1,HGS,HLA-A,HSP90B1,HSPA8,IL6,INCENP,JOSD2,KAT2A,KAT2B,KCTD6,KDELR2,KIN,KLHL11,KLHL2,KLHL22,KLHL25,KLHL42,KLHL5,KLHL9,KTN1,L3MBTL2,LAMB1,LEO1,LMAN1,LMAN2,LMO7,LRRC41,MAN1A1,MAN1A2,MAT2B,MAVS,MBD6,MCRS1,MDC1,MEN1,METTL22,MGAT4A,MGAT4B,MLEC,MOGS,MPDU1,MRTFA,MUC1,MUL1,MYC,MYSM1,NAE1,NANS,NAPB,NAPG,NCOR2,NEGR1,NR1H2,NR1H3,NR2C1,NSMCE4A,NUP188,NUP214,NUP50,NUP54,NUP98,OGT,OTUB1,OTUD3,PARP1,PCNA,PDIA3,PDIA6,PEX12,PEX2,PGAP1,PGM3,PIGK,PIGO,PIGQ,PLAUR,PMM1,POM121,POM121C,POMGNT1,POMK,POMT2,PPARGC1A,PPP6C,PPP6R1,PREB,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTP4A2,RAB11A,RAB12,RAB13,RAB1A,RAB1B,RAB27A,RAB30,RAB34,RAB35,RAB5C,RAB6A,RAB7A,RAB8B,RAB9A,RAD21,RAD23B,RANGAP1,RBX1,RCN1,RECK,RELA,RNF123,RNF139,RNF181,RNF185,RNF2,RNF40,RPN1,RPS2,RTF1,RTN4RL2,SCFD1,SDC2,SEC16A,SEC23A,SEC24A,SEC24C,SEM1,SENP2,SHISA5,SKP2,SLC17A5,SMC1A,SMC3,SMURF2,SOCS5,SOCS6,SP100,SPTBN2,ST3GAL5,STAG2,STX5,SUDS3,SUMO1,SUZ12,TADA3,TAF10,TDG,TFAP2C,TGFBR2,TMED7,TMEM115,TNFAIP3,TNKS2,TOP2A,TOP2B,TP53,TRAF2,TRAPPC2,TRAPPC2L,TRIM25,TRIM27,TRIM28,TRRAP,TTLL11,TTLL12,TTLL3,TTLL4,TTLL5,TTLL7,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UBA1,UBA3,UBA6,UBE2B,UBE2E3,UBE2F,UBE2G1,UBE2M,UBE2Q2,UBE2S,UBXN7,UCHL3,UCHL5,UGGT1,UGGT2,UHRF2,USO1,USP16,USP19,USP21,USP22,USP24,USP25,USP47,USP48,USP5,VCP,VCPIP1,VCPKMT,VDAC1,WDR5,WSB1,XRCC4,YOD1",0.260240963855422
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI"," Cellular responses to stimuli",1.7e-41,1.3e-38,3333,716,212,29522,"AAAS,ACD,ACTR1A,ADD1,AKT1S1,ANAPC1,ANAPC11,ANAPC16,ANAPC2,ARNTL,ASF1A,ATF5,ATP6V1A,ATP6V1C2,ATP6V1D,ATP6V1E2,ATP6V1F,ATP6V1H,ATP7A,ATR,BACH1,BAG3,BLVRA,CABIN1,CAMK2D,CAPZA2,CARM1,CBX6,CCAR2,CCNA2,CDC23,CDK4,CDKN1B,CDKN2B,CDKN2C,CEBPG,COX19,COX5B,COX6C,COX7A2L,COX7B,COX7C,COX8A,CREB3L2,CREBBP,CREBRF,CRTC1,CRTC2,CRTC3,CSRP1,CUL7,CYCS,DCP2,DDIT3,DDX11,DNAJB11,DNAJB9,DNAJC3,DYNC1LI2,E2F1,EDEM1,EED,EGLN3,EHMT1,ELOC,EP300,ERF,ERN1,ERO1A,ETS2,EXOSC3,EXTL2,FAU,FKBP5,FNIP1,FOS,GCN1,GFPT1,GOSR2,GPX8,GRB10,GSR,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,HDAC6,HDGF,HIGD1A,HSP90B1,HSPA8,HSPB8,HSPH1,IL6,IMPACT,LAMTOR3,LAMTOR5,LIMD1,MAFK,MAP2K7,MAP3K5,MAPK1,MAPK14,MED1,MEF2D,MLST8,MRE11,MTF1,NBN,NCOA6,NCOR1,NCOR2,NFE2L2,NFKB1,NFYA,NFYB,NPAS2,NPRL2,NPRL3,NUP188,NUP214,NUP50,NUP54,NUP98,PARN,PDIA5,PDIA6,POM121,POM121C,PPARGC1A,PRDX3,PREB,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RAD50,RAI1,RBX1,RELA,RHEB,RNF2,RPA2,RPA3,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,RPS6KA3,RPTOR,RRAGB,SEM1,SH3BP4,SHC1,SIN3B,SKP2,SLC38A9,SLC46A1,SOD1,ST13,SUZ12,SZT2,TBL1X,TBL1XR1,TERF2IP,TLN1,TLR4,TNRC6A,TNRC6C,TP53,TRIB3,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,TXN,TXN2,TXNIP,UBE2S,VCP,WDR24,WTIP,XPO1,ZBTB17",0.29608938547486
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION"," Rna polymerase ii transcription",1.9e-35,1e-32,3333,1222,288,29522,"ABL1,AGO2,AKT2,ANAPC1,ANAPC11,ANAPC16,ANAPC2,APAF1,ARID1A,ARID1B,ATR,ATRIP,ATXN3,AURKA,BANP,BRD7,BRPF1,CAMK2D,CARM1,CASC3,CASP1,CAV1,CBFB,CBX3,CBX6,CCN2,CCNA2,CCNB1,CCND1,CCND3,CCNG1,CCNG2,CCNK,CDC23,CDC40,CDK1,CDK4,CDKN1B,CDKN2B,CITED4,CNOT8,CNOT9,COL1A1,COX19,COX5B,COX6C,COX7A2L,COX7B,COX7C,COX8A,CPSF4,CPSF7,CREBBP,CSTF2,CSTF3,CTNNB1,CTSL,CTSV,CYCS,DDIT3,DDX39A,DEK,DGCR8,DPY30,DYRK2,E2F1,E2F7,EED,EHMT1,ELOC,EP300,FAS,FKBP5,FOS,FYTTD1,G6PD,GATAD2A,GATAD2B,GLS,GPRIN1,GSR,GTF2A2,GTF2F2,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,HDAC6,HDAC9,IL6,INTS1,INTS3,INTS5,INTS9,IRAK1,ITGA5,KAT2A,KAT2B,KCTD1,KCTD6,KMT2B,KMT2D,L3MBTL2,LAMTOR3,LAMTOR5,LBR,LEO1,LSM10,LSM11,MAGOH,MAMLD1,MAPK1,MAPK14,MBD3,MDC1,MEAF6,MECP2,MED1,MED16,MED24,MED8,MEN1,MET,MLLT1,MLST8,MRE11,MTA2,MYBL2,MYC,NABP2,NBN,NCBP2,NCOR1,NCOR2,NEDD4L,NFATC2,NFKB1,NFYA,NFYB,NR1H2,NR1H3,NR2C1,NR4A1,NR4A3,PARP1,PCGF5,PCGF6,PCNA,PDPK1,PHF20,PIP4K2A,POLDIP3,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PPARD,PPARGC1A,PPP2CB,PPP2R1A,PRELID1,PRKAA1,PRKACA,PRKAG1,PRMT1,PRMT5,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTPN1,PTPN4,RAD50,RAD51D,RAD9A,RARB,RBL2,RBM14,RBX1,RELA,RFC3,RFC4,RHEB,RMI2,RNF2,RPA2,RPA3,RPRD2,RPTOR,RRAGB,RRM2,RRM2B,RTF1,SEM1,SESN3,SETD1A,SETD1B,SFN,SIN3B,SKI,SKP2,SLC2A3,SLC38A9,SMAD6,SMARCD1,SMURF2,SMYD2,SNAPC4,SNAPC5,SNRPB,SNRPE,SNRPF,SOCS4,SREBF1,SRSF9,SSRP1,SSU72,SUMO1,SUPT5H,SUPT6H,SUZ12,SYMPK,TAF10,TAF13,TAF3,TAF5,TAF6,TBL1X,TBL1XR1,TEAD4,TFAP2C,THOC7,TNFRSF10B,TNRC6A,TNRC6C,TP53,TP53RK,TRIM28,TSC2,TXN,TXNIP,U2AF2,UBE2S,WDR5,WWP1,YAF2,YWHAG,ZFHX3,ZNF10,ZNF138,ZNF184,ZNF202,ZNF205,ZNF213,ZNF254,ZNF267,ZNF282,ZNF3,ZNF320,ZNF324,ZNF385A,ZNF426,ZNF429,ZNF519,ZNF530,ZNF561,ZNF584,ZNF641,ZNF668,ZNF680,ZNF692,ZNF697,ZNF703,ZNF710,ZNF736,ZNF738,ZNF746,ZNF747,ZNF771,ZNF777,ZNF778,ZNF875",0.235679214402619
"REACTOME_CELL_CYCLE"," Cell cycle",3.1e-33,1.2e-30,3333,656,185,29522,"AAAS,ABL1,ACD,ACTR1A,AKAP9,AKT2,ANAPC1,ANAPC11,ANAPC16,ANAPC2,ANKRD28,ATR,ATRIP,AURKA,BUB1,BUB1B,BUB3,CC2D1B,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CDC14A,CDC23,CDK1,CDK4,CDKN1B,CDKN2B,CDKN2C,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CEP152,CEP164,CEP290,CEP43,CEP57,CEP70,CHTF18,CKS1B,CLASP1,CNEP1R1,CNTRL,DBF4,DSCC1,DYNC1LI2,E2F1,EP300,FBXL18,FBXW11,GMNN,GORASP1,GTSE1,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,HAUS4,HAUS6,HMMR,INCENP,KIF20A,KIF23,KIF2A,KIF2C,KNL1,KPNB1,LBR,LCMT1,MAD2L1,MAPK1,MAU2,MCM2,MCM7,MDC1,MIS18BP1,MRE11,MYBL2,MYC,MZT1,NBN,NDC80,NEK2,NEK7,NSL1,NUF2,NUMA1,NUP188,NUP214,NUP50,NUP54,NUP98,OIP5,OPTN,ORC6,PCM1,PCNA,PHF20,PKMYT1,PLK1,PMF1,POLD1,POLD2,POLE,POLE3,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,POM121,POM121C,PPP1CC,PPP1R12A,PPP2CB,PPP2R1A,PPP6C,PRKACA,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTTG1,RAB1A,RAB1B,RAD21,RAD50,RAD9A,RAN,RANGAP1,RBL2,RBX1,RFC1,RFC3,RFC4,RMI2,RPA2,RPA3,RRM2,RSF1,SEM1,SFN,SGO1,SKP2,SMC1A,SMC3,SMC4,SPC24,SSNA1,STAG2,STN1,SUMO1,SYNE1,TAOK1,TERF2IP,TOP2A,TP53,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,TUBGCP2,TYMS,UBE2S,USO1,VPS4A,VRK1,WRAP53,XPO1,YWHAG,ZNF385A",0.282012195121951
"REACTOME_INFECTIOUS_DISEASE"," Infectious disease",1.2e-32,3.3e-30,3333,734,198,29522,"AAAS,ABL1,ADAM17,ADM2,ADRB2,AP1B1,AP1M1,AP1S1,AP1S2,AP2A1,ARPC1A,ARPC3,ARPC5,ATP6V1H,BRD4,BRMS1,CASP1,CBLL1,CBX1,CCNK,CEBPD,CHMP1A,CHMP5,CLTA,COMT,CPSF4,CRBN,CTNNB1,CTSL,CXCR4,DNAJC3,DVL1,DVL3,DYNC1LI2,EED,ELK1,ELOC,EPS15,FAU,FNTA,FURIN,FUT8,GALNT1,GANAB,GATAD2A,GATAD2B,GNAI1,GNB1,GNG11,GNG12,GTF2A2,GTF2F2,H2AC21,H2AC6,H2BC12,H2BC13,HGS,HLA-A,HMG20B,IFNAR1,IFNGR1,IL18,IL6,IL6R,IMPDH2,ITGB1,KDM1A,KPNA2,KPNA5,KPNB1,MAP2K1,MAP2K2,MAP2K7,MAPK1,MAPK14,MBD3,MC1R,MET,MGAT4A,MGAT4B,MOGS,MTA2,MVB12A,MYO1C,MYO9B,NCBP2,NCOR1,NCOR2,NEDD4L,NFE2L2,NFKB1,NT5E,NUP188,NUP214,NUP50,NUP54,NUP98,PARP1,PARP4,PARP6,PIK3C3,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,POM121,POM121C,PRKACA,PRKAR1A,PRKAR1B,PRKX,PRMT1,PSIP1,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTGER4,PTK2,RAB7A,RAN,RANGAP1,RBX1,RCOR1,RELA,RNF213,ROCK2,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPN1,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,RXFP1,SEM1,SH3GL1,SH3KBP1,SNAP25,SSRP1,SUDS3,SUMO1,SUPT5H,SUZ12,TAF10,TAF13,TAF3,TAF5,TAF6,TBK1,TBL1X,TBL1XR1,TRIM27,TRIM28,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,TXN,TXNIP,TYK2,VAV3,VCP,VPS37C,VPS4A,WAS,WASF2,WASL,WNT5A,XPO1,XRCC4",0.269754768392371
"REACTOME_MEMBRANE_TRAFFICKING"," Membrane trafficking",1.2e-32,3.3e-30,3333,566,167,29522,"AAK1,ACTR1A,ADRB2,AGPAT3,AKT2,ANK3,ANKRD28,AP1B1,AP1G2,AP1M1,AP1S1,AP1S2,AP2A1,AP3S1,AP4M1,ARF3,ARF5,ARFGAP2,ARFIP2,ARL1,ARPC1A,ARPC3,ARPC5,ARRB2,ASPSCR1,BET1L,BLOC1S3,CAPZA2,CD55,CD59,CENPE,CHMP5,CLTA,COG7,COG8,COL7A1,COPB1,COPE,COPG2,COPS7A,CTSC,CUX1,DENND1A,DENND1B,DENND4B,DNM2,DYNC1LI2,EPGN,EPN1,EPS15,EPS15L1,EXOC7,EXOC8,F8,FCHO2,FZD4,GABARAPL2,GALNT1,GBF1,GGA1,GGA3,GJC1,GNS,GOLGA4,GORASP1,GOSR2,GPS1,HGS,HIP1,HPS4,HSPA8,IL7R,ITSN2,KDELR2,KIF18B,KIF20A,KIF20B,KIF23,KIF26A,KIF2A,KIF2C,KIF3B,KIFC2,KLC2,LMAN1,LMAN2,LNPEP,M6PR,MADD,MAN1A1,MAN1A2,MVB12A,MYO1C,NAA30,NAPB,NAPG,NECAP1,NECAP2,OPTN,PIK3C2A,PPP6C,PPP6R1,PREB,PRKAG1,RAB11A,RAB12,RAB13,RAB1A,RAB1B,RAB27A,RAB30,RAB35,RAB5C,RAB6A,RAB7A,RAB8B,RAB9A,RABEPK,REPS2,RGP1,RHOQ,RIC1,SBF1,SCFD1,SEC16A,SEC23A,SEC24A,SEC24C,SFN,SH3GL1,SH3KBP1,SNAP29,SNX18,SNX5,SNX9,SPTBN2,STX5,STX6,TBC1D1,TBC1D10B,TBC1D15,TBC1D4,TFRC,TMED7,TMEM115,TOR1B,TPD52L1,TRAPPC13,TRAPPC2,TRAPPC2L,TSC2,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,USO1,VAMP3,VPS37C,VPS4A,VPS52,VPS54,WASL,WNT5A,YIPF6,YWHAG",0.295053003533569
"REACTOME_VESICLE_MEDIATED_TRANSPORT"," Vesicle mediated transport",1.7e-32,3.9e-30,3333,594,172,29522,"AAK1,ACTR1A,ADRB2,AGPAT3,AKT2,ANK3,ANKRD28,AP1B1,AP1G2,AP1M1,AP1S1,AP1S2,AP2A1,AP3S1,AP4M1,ARF3,ARF5,ARFGAP2,ARFIP2,ARL1,ARPC1A,ARPC3,ARPC5,ARRB2,ASPSCR1,BET1L,BLOC1S3,CAPZA2,CD55,CD59,CENPE,CHMP5,CLTA,COG7,COG8,COL1A1,COL3A1,COL4A1,COL7A1,COPB1,COPE,COPG2,COPS7A,CTSC,CUX1,DENND1A,DENND1B,DENND4B,DNM2,DYNC1LI2,EPGN,EPN1,EPS15,EPS15L1,EXOC7,EXOC8,F8,FCHO2,FZD4,GABARAPL2,GALNT1,GBF1,GGA1,GGA3,GJC1,GNS,GOLGA4,GORASP1,GOSR2,GPS1,HGS,HIP1,HPS4,HSP90B1,HSPA8,HSPH1,IL7R,ITSN2,KDELR2,KIF18B,KIF20A,KIF20B,KIF23,KIF26A,KIF2A,KIF2C,KIF3B,KIFC2,KLC2,LMAN1,LMAN2,LNPEP,M6PR,MADD,MAN1A1,MAN1A2,MVB12A,MYO1C,NAA30,NAPB,NAPG,NECAP1,NECAP2,OPTN,PIK3C2A,PPP6C,PPP6R1,PREB,PRKAG1,RAB11A,RAB12,RAB13,RAB1A,RAB1B,RAB27A,RAB30,RAB35,RAB5C,RAB6A,RAB7A,RAB8B,RAB9A,RABEPK,REPS2,RGP1,RHOQ,RIC1,SBF1,SCFD1,SEC16A,SEC23A,SEC24A,SEC24C,SFN,SH3GL1,SH3KBP1,SNAP29,SNX18,SNX5,SNX9,SPTBN2,STX5,STX6,TBC1D1,TBC1D10B,TBC1D15,TBC1D4,TFRC,TMED7,TMEM115,TOR1B,TPD52L1,TRAPPC13,TRAPPC2,TRAPPC2L,TSC2,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,USO1,VAMP3,VPS37C,VPS4A,VPS52,VPS54,WASL,WNT5A,YIPF6,YWHAG",0.28956228956229
"REACTOME_CELL_CYCLE_MITOTIC"," Cell cycle mitotic",5.7e-31,1.1e-28,3333,530,157,29522,"AAAS,ABL1,ACTR1A,AKAP9,AKT2,ANAPC1,ANAPC11,ANAPC16,ANAPC2,AURKA,BUB1,BUB1B,BUB3,CC2D1B,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CDC14A,CDC23,CDK1,CDK4,CDKN1B,CDKN2B,CDKN2C,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CEP152,CEP164,CEP290,CEP43,CEP57,CEP70,CKS1B,CLASP1,CNEP1R1,CNTRL,DBF4,DYNC1LI2,E2F1,EP300,FBXL18,FBXW11,GMNN,GORASP1,GTSE1,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,HAUS4,HAUS6,HMMR,INCENP,KIF20A,KIF23,KIF2A,KIF2C,KNL1,KPNB1,LBR,LCMT1,MAD2L1,MAPK1,MAU2,MCM2,MCM7,MYBL2,MYC,MZT1,NDC80,NEK2,NEK7,NSL1,NUF2,NUMA1,NUP188,NUP214,NUP50,NUP54,NUP98,OPTN,ORC6,PCM1,PCNA,PKMYT1,PLK1,PMF1,POLD1,POLD2,POLE,POLE3,POM121,POM121C,PPP1CC,PPP1R12A,PPP2CB,PPP2R1A,PRKACA,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTTG1,RAB1A,RAB1B,RAD21,RAN,RANGAP1,RBL2,RBX1,RFC1,RFC3,RFC4,RPA2,RPA3,RRM2,SEM1,SGO1,SKP2,SMC1A,SMC3,SMC4,SPC24,SSNA1,STAG2,SUMO1,TAOK1,TOP2A,TP53,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,TUBGCP2,TYMS,UBE2S,USO1,VPS4A,VRK1,XPO1,YWHAG",0.29622641509434
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"," Signaling by rho gtpases miro gtpases and rhobtb3",7.9e-31,1.4e-28,3333,655,180,29522,"AAAS,ABL1,ACBD5,ADD3,AMIGO2,ANKFY1,ANLN,ARAP3,ARFGAP2,ARHGAP1,ARHGAP18,ARHGAP28,ARHGAP35,ARHGAP39,ARHGAP4,ARHGAP5,ARHGDIB,ARHGEF11,ARHGEF17,ARHGEF28,ARHGEF39,ARHGEF7,ARPC1A,ARPC3,ARPC5,ATP6AP1,BAIAP2L1,BUB1,BUB1B,BUB3,C1QBP,CAV1,CAVIN1,CCT7,CDC42BPB,CDC42EP1,CDC42EP4,CDKN1B,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CEP97,CLASP1,CPSF7,CSK,CTNNA1,CTNNB1,DEPDC1B,DNMBP,DOCK11,DSG2,DST,DVL1,DVL3,DYNC1LI2,ECT2,ESYT1,EVL,FAF2,FAM135A,FAM83B,FAM91A1,FGD1,FGD4,FLNA,FLOT2,FRS2,GIT1,GOLGA3,GPS1,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,HGS,HSPE1,IL32,INCENP,ITGB1,ITSN2,KCTD3,KDM1A,KIF2A,KIF2C,KLC2,KNL1,KTN1,LBR,LMAN1,LRRC41,MAD2L1,MAP3K11,MAPK1,MAPK14,MEN1,MOSPD2,MRTFA,MYL12B,MYO9B,NDC80,NDUFA5,NSFL1C,NSL1,NUF2,NUP98,PAK6,PDPK1,PFN1,PGRMC2,PIK3C3,PKN1,PKN2,PLEKHG2,PLEKHG4,PLEKHG5,PLK1,PLXNA1,PMF1,PPP1CC,PPP1R12A,PPP2CB,PPP2R1A,PTK2,RAB7A,RAB9A,RANGAP1,RHOB,RHOBTB1,RHOBTB2,RHOF,RHOG,RHOQ,RHOV,RHPN2,ROCK2,RRAS2,SCFD1,SFN,SGO1,SH3PXD2A,SLC1A5,SLC4A7,SLITRK5,SOWAHC,SPC24,SPEN,SRF,STOM,STX5,SWAP70,SYDE2,TAOK1,TFRC,TMEM59,TMEM87A,TPM4,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,TWF1,UACA,VAMP3,VAV3,VCP,WAS,WASF2,WASL,WDR6,WWP2,XPO1,YWHAG",0.274809160305344
"REACTOME_METABOLISM_OF_RNA"," Metabolism of rna",1.2e-28,1.9e-26,3333,652,175,29522,"AAAS,ADAR,BOP1,BYSL,CASC3,CDC40,CLNS1A,CNOT8,CNOT9,CPSF4,CPSF7,CSTF2,CSTF3,CWC22,CWC27,DCAF13,DCP1A,DCP2,DDX1,DDX39A,DDX49,DHX16,DIMT1,EBNA1BP2,EDC3,EDC4,EFTUD2,EIF4A2,EIF4E,EIF4G1,ELAC2,EXOSC3,FAU,FTSJ3,FUS,FYTTD1,GCFC2,GEMIN4,GEMIN8,GLE1,GTF2F2,HNRNPA0,HNRNPA2B1,HNRNPD,HNRNPF,HSD17B10,HSPA8,IGF2BP3,LCMT2,LSM10,LSM11,LSM3,LSM4,LSM5,LSM6,LSM8,LTV1,MAGOH,MAPK14,MPHOSPH10,MT-RNR1,NAT10,NCBP2,NOB1,NOC4L,NOL6,NSUN2,NT5C3B,NUP188,NUP214,NUP50,NUP54,NUP98,PAN2,PARN,PELP1,PES1,PNRC2,POLDIP3,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,POM121,POM121C,POP7,PPIL1,PPP2R1A,PRMT5,PRPF19,PRPF8,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,QTRT1,QTRT2,RAN,RBM17,RIOK1,RIOK3,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPP25,RPP38,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,RRP7A,SEM1,SENP3,SF3B2,SF3B6,SMG5,SMG7,SMG9,SNRNP200,SNRNP27,SNRPA1,SNRPB,SNRPE,SNRPF,SRRM2,SRSF9,SUPT5H,SYF2,SYMPK,TBL3,TFB1M,THADA,THOC7,TP53RK,TRMT1,TRMT10A,TRMT10C,TRMT11,TRMT61A,TRMU,TRNT1,TSEN15,TTC37,TUT4,TYW3,U2AF2,UPF1,URM1,WDR18,XPO1,ZBTB8OS,ZMAT5",0.26840490797546
